ID,Sentence,ID2,label
20,#小巴说新闻#【鑫根资本吁建百亿乐视困境基金：七大生态设想正确，抛弃可惜】7月27日晚，乐视网公告称，贾跃亭所持股份被全部轮候冻结。,1,2
20,几乎在上述公告发布的同一时间，乐视网曾经的第二大股东鑫根资本创始合伙人曾强发布了一条朋友圈，表达了对贾跃亭舍家弃业追逐汽车梦的理解。,2,
20,据曾强介绍，他在7月26??,3,
20,全文,4,
21,#清辉访谈#【基金公司持仓@乐视网态度存分歧】（@北京商报记者闫瑾王晗）著名经济学家宋清辉表示，基金公司集体下调乐视网估值，无异于给危机重重的乐视网“当头棒喝”，不排除乐视网在复牌后会面临跌停的可能。,1,2
21,“乐视网的问题其实一点也不复杂，目前之所以四面楚歌，从本质上来讲就是因为负债率??,2,2
21,全文,3,
22,改革开放初期我们学习外企，外企慢慢随着政策红利衰退！,1,
22,前几年我们学习大型的名企，名企随着政商关系归位没落！,2,
22,最近我们把贾跃亭当做榜样，贾跃亭跑到美国去计划蜗居！,3,2
22,揭开潜规则的遮羞布！,4,
22,都是空中楼阁海市蜃楼！,5,
22,以后，必须要紧盯政府的管理理念！,6,
22,#科学健眼操教你升视力#,7,
23,转发了财经郎眼的微博:贾跃亭黯然离场，成为乐视“年中大戏”的高潮。,1,2
23,曾经高喊“为梦想窒息”的贾跃亭低调抽身，究竟是赴美圆梦还是被迫“跑路”？,2,
23,危机不断，孙宏斌为何巨资“搭救”乐视？,3,
23,他又是否能为乐视“化险为夷”？,4,
23,锁定今晚21:10分，广东卫视《财经郎眼》，@郎咸平@王福重@王牧笛为您聚焦《贾跃亭是骗子吗？,5,2
23,》??,6,
23,[组图共9张]?,7,
23,原图?,8,
23,赞[15]?,9,
23,原文转发[26]?,10,
23,原文评论[16]转发理由:@财经郎眼为什么每次微博你都没有艾特罗密欧//@罗密欧78【节目】你是否买过乐视TV？,11,
23,乐视手机？,12,
23,乐视。。,13,
23,等等？,14,
23,那现在怎么办！？,15,
23,乐视已经不是一件乐事！,16,
23,钱都去哪儿了？,17,
23,记得收看今晚的@财经郎眼@广东卫视21:10播出或者上爱奇艺免费收看！,18,
23,不见不散！,19,
23,#罗密欧78##意大利罗密欧#,20,
24,【乐视在国内被讨债贾跃亭在美或建法乐第未来新总部】21日消息，获得贾跃亭投资的电动汽车公司法乐第未来已聘请中国MAD建筑事务所，帮助该公司在加州北部MareIsland设计未来风格的总部。,1,2
24,对法乐第未来而言，在近期遭遇一系列困难之后，这处总部代表了新的未来。,2,1
24,（新浪网）????,3,
24,[组图共4张],4,
25,#上市公司那点事儿#【孙宏斌：不想做乐视董事长他们是小买卖】对于做不做乐视网董事长一事上，孙宏斌表示，不想做乐视董事长，他们是小买卖，我这融创是几千亿的大买卖。,1,
25,孙宏斌：不想做乐视董事长他们是小买卖???,2,2
26,故宫啊，从小就知道看到的地方，这次终于双脚踏上了。,1,1
26,买票的人太多了。,2,
26,其他的都好。,3,
27,古城不大，风景很美，设施很好，交通便利。,1,
27,因为以前去过丽江了，就感觉镇远一般般了。,2,2
27,但是作为古城，镇远还是值得一去的。,3,
28,三亚湾度假区东起三亚港，二十里长的滨海大道依湾绵延，椰树成林西行延伸至天涯湾。,1,
28,人道十里银滩美，可比起这二十里椰林画廊，就小巫见大巫了!,2,
28,放眼望去，东、西玳瑁洲(玳瑁岛)(俗称东岛、西岛)两座小岛浮于海 中，相邻而望，东岛驻军戒备森严，西岛渔家出入自由，相邻的小岛承担的却是不同的使命。,3,
28,该湾湾长沙细，岸上绿树如带，构成三亚海滨风景区美丽动人的风景线。,4,1
28,长长海湾，规划分为三段，紧连市区一段为游乐观光漫游区域，稍远为公共海边泳场和海上活动区域，再远是拥有一批度假村的休闲度假区域。,5,
28,最地道最能代表 三亚 风味的美食，不在高大上的餐厅里，而在遍布在各大美食街的小摊小店中。,6,
28,我们这次去的重庆英姐海鲜店就是其中的一家。,7,0
28,位于新民街124号，在吃的法则里，地道风味重于一切。,8,
28,人们怀着对食物的理解，在不断的尝试中寻求着转化的灵感。,9,
28,所有这些充满想象力的转化，它们所打造出的风味和对营养的升华令人惊叹，并且形成了一种叫做文化的部分，得以传承,10,
29,就是大栅栏那里啊，这有个杜莎夫人蜡像馆，我们在门口拍照，没进去，蜡像馆旁边的全聚德就去吃了。,1,0
30,三条线，三段历史，中轴线，中华民国。,1,0
30,东线太平天国，西线煦园。,2,0
30,既可阅览江南园林，又可对民国文化有诸多了解,3,0
31,总统府在明朝初年曾是归德侯府和汉王府。,1,0
31,清朝为江宁织造署、江南总督府、两江总督署。,2,0
32,来动物园的人不是来看动物的，是来看人的！,1,2
32,这人山人海啊~~不过里面的海洋馆真的真的真的很赞！！！,2,
33,还是刚开馆的时候去的，记录了成都乃至四川的历史。,1,0
34,双廊，一个遗落在洱海边的世外桃源，去过的人，没有一个不爱她。,1,1
34,背负苍山，面朝洱海，这里的曰子永远风清云淡。,2,1
34,如果用几个词来形容就是：悠闲、惬意、惊艳?,3,
35,3号值班，4号5号休假，6号7号8号三天去任丘培训。。,1,
35,三天满满当当的，除了晚上好像没事儿，谁在任丘啊，约我哇约我哇~~,2,1
36,「团队的力量」我愿在我的世界里，无论何时何地，你们都在一起！,1,
36,i爱[红桃][爱你]在一起，一起迎着风，欢笑，成长！,2,
36,[good]当然还有荫姐，一直等你回来！,3,1
37,初到成都，被这里的雾霾深深的吓到了[衰]来给成都人民吸霾来了[汗][汗],1,2
38,[生病]哪里是雾霾啊！,1,
38,[鼓掌]简直成了混沌初开啊！,2,
38,[晕]能见度不到10米！,3,
38,[吃惊]现在外面的样子，是要消失的节奏吗？？？,4,2
38,[睡觉],5,
39,受不了这雾霾这简直伸手不见五指我这两天点也不想出门啊！！,1,2
40,话说，半夜有流星，但是武汉这雾霾这么严重，估计流星从我头顶上划过去也看不见，哎，洗洗睡吧！,1,2
40,大家晚安！,2,
40,安特锐普珠宝设计定制中心！,3,
41,2014北京马拉松，我将于明早视情况决定是否启动紧急预案！,1,
41,如果雾霾是重度污染的话，我将不得不放弃奔跑，也就是说大家就会有高端大气上档次的照片欣赏了！,2,2
41,[汗][衰][偷笑]不过跑友们最好还是以健康为重哦！,3,
42,以后我也办个公司雇佣你这样为公司服务的人。嘿嘿……,1,2
42,期待您成功！,2,
43,想念布尔津的烤黑鱼!想念魔鬼城!想念有常德妹陀的洗脚城!,1,
43,那不叫洗脚城呢~那是让人误以为只接待男宾的小店~,2,2
44,你是早班不？快点来啊，我的卡坏了，进不去了,1,2
44,哈哈刚好我就来了救了你~,2,
45,林丹口型,1,
45,\\@某M_俺俺_踹飞偶家皇桑 : 林丹口型！！！,2,0
45,\\@请首先准备蛋黄酱 : 老娘心中有千万匹草泥马在狂奔！,3,0
45,MLGBWC,4,
45,\\@少年的名字是樱井羊羽 :林丹口型！！！,5,0
45,@新浪体育,6,
45,【体操男子吊环巴西名将爆冷夺金 陈一冰获银牌】,7,
45,http:\\t.cn\zWOZCe9 伦敦奥运会体操男子体操吊环决赛，中国选手陈一冰尽管完美的完成了整套动作，但是最终仍以0.100分的劣势不敌下法站立不稳的巴西选手纳巴拉特-扎内蒂，无缘该项目的冠军，最终获得一枚银牌。,8,
46,感觉布达拉宫广场和天安门广场的气场很像啊。,1,0
46,虽然没有天安门广场大，但是这一派雪域光环又使得它更加神圣纯粹。,2,
46,想到它们身居各自的天南海北，却仍然遥远呼应，忽然觉得荡气回肠。,3,
47,是啊，我发现最近经常有发这个或者说这句话的欲望,1,2
47,那好郁闷撒,2,
48,回复@森森三毫子 :谢谢，端午节快乐皇后！,1,
48,\\@森森三毫子 :皇上,2,
48,\\@刘永-秦始皇 :回复@lovexcgslove :大家都节日快乐，开心！,3,
48,\\@lovexcgslove :皇上！,4,0
48,端午节快乐！,5,
48,@刘永-秦始皇 早上到现在还在努力工作中！,6,
48,累啦！,7,
48,这些天，每天都是工作！,8,
48,工作！,9,
49,＂等了好久終於等了今天，夢了好久終於把夢實現…,1,1
49,＂@郭德纲 @于谦 的相聲終於登上春晚了！,2,
49,我們終於也可以忘記春晚的無聊了！,3,
50,位于西安市中心，钟楼鼓楼遥想相望，声闻于天。,1,1
51,慢慢走着，慢慢看着，它有两个特别的景点就是元阴石和元阳石。,1,1
52,有没有激起你打球的欲望,1,
52,你电话私信给我，今晚组队，我已经叫了三个人了,2,0
53,霸气！,1,
53,长的跟陈先锋似的……,2,
53,@现代快报,3,
53,【男子400自孙杨破奥运纪录 勇夺中国男泳奥运首金】,4,1
53,伦敦奥运会游泳比赛，男子400米自由泳决赛，孙杨以3分40秒14打破奥运会纪录，夺取中国男子游泳的奥运历史第一金。,5,
53,朴泰桓3分42秒06亚军，美国名将范德凯伊3分44秒69摘取铜牌，另外一位中国选手郝运3分46秒02排在第四。,6,
54,是滴。。。搜狗拼音,1,
54,啷个弄的皮肤？我勒个搜狗就是黑白的，丑死咯,2,2
55,威武～,1,
55,\\@虎扑篮球 :中国女篮  @虎扑CBA 中国女篮奥运会首战66-57击败捷克队！,2,0
55,#虎扑#,3,
55,CBA带来全场精彩镜头GIF集锦，老将陈楠这球不要太给力！,4,
55,钉板大帽有木有？！！！！！,5,
55,加油女篮！,6,
55,更多精彩GIF请看http:\\t.cn\zW9Luio,7,
56,哈哈不小心又暴力了吧？,1,
56,哎.是啊.早知现在我当初又何必呢？哈哈哈,2,2
57,我看出来了，组织委员太不容易了~方阿姨属于口头,1,2
57,在这个纷扰的社会咱们就需要你这类品德高尚,2,
58,我们在阿里山的游览线路是：阿里山火车站——昭平车站下车，步行姐妹潭，受镇宫，巨木群栈道，阿里山神木，神木车站，乘小火车回到阿里山车站。,1,0
58,游览约3个小时。,2,
59,漓江--应该是每个读过这篇课文的孩子的梦吧？,1,1
59,“我们荡舟漓江来欣赏桂林的山水”,2,
60,回复@漢家之將士A : 万年历上是这么写的。,1,0
60,\\@漢家之將士A :这里的第一句话！,2,
60,明显大错特错！,3,
60,看下万年历啊！,4,
60,甲午年没到啊！,5,
60,还是癸巳啊！,6,
60,博主！,7,
60,你们真给汉人丢人现眼！,8,
60,时间搞错了！,9,
60,还整什么春晚啊！,10,
60,@在天为日月 对吧！,11,
60,\\@柯华上海 :现在都以正月初一为界了。,12,
60,\\@柯华上海 :现在都以正月初一为界了。,13,
60,@汉服春晚节目策划组,14,
60,#2014汉服春晚#,15,
60,零点的钟声即将敲响， 灵蛇将远去，金马踏云来！,16,
60,农历十二月三十日晚，为全球华人奉上2014汉服春节联欢晚会，以歌舞咏志，以盛宴迎春！,17,
60,祝大家龙马精神，马到成功！,18,
60,让我们共同期待，华夏文明永恒的春天！,19,
60,http:\\t.cn\8FJbwF4,20,
61,狗的半夜不睡觉嘛，等会儿鬼就要去找你！,1,
61,你又吓我嘛!!我是大学生了你还不是没睡啊!,2,2
62,你怕我阻止你干坏事所,1,
62,你是警察吗？你又不认识我，你怎能阻止我？,2,2
63,早晨七点的火车,1,
63,那咱改周五晚上成么？我请你们吃饭顺便给你们请柬,2,2
64,对的,1,
64,那些人拦道堵车到底是什么原因使他们做出这步？,2,2
65,一开始是冲着贝聿铭的名声去看建筑的，进去以后，除了建筑风格，馆藏也很丰富。,1,
65,各个时代的，从远古到明清，我是个历史爱好者，很对我的胃口。,2,1
65,博物馆里安静舒适的氛围很棒。,3,
66,参加国考面试，尤其是中央部委的千万好好研究一号文件啊。,1,0
66,别怪偶没有告诉你们。,2,
66,@新华网,3,
66,【中央农办负责人解读一号文件五大热点】,4,
66,国务院新闻办公室22日举行新闻发布会。,5,
66,中央农办负责人对新近公布的一号文件进行全面解读。,6,
66,确保国家粮食安全、完善重要农产品价格形成机制、建立农业可持续发展长效机制、深化农村土地制度改革等成为记者们普遍关心的焦点问题。,7,
66,http:\\t.cn\8FtAjBT,8,
67,#航运史上的今天#,1,
67,《联合国海洋法公约》生效1994年11月16日，《联合国海洋法公约》开始生效。,2,0
67,此公约对内水、领海、临接海域、大陆架、专属经济区、公海等重要概念做了界定。,3,
67,对当前全球各处的领海主权争端、海上天然资源管理、污染处理等具有重要的指导和裁决。,4,
67,时任联合国秘书长的加利说，这是20??,5,
67,全文?,6,
67,原图?,7,
68,今年是因为痴人的这首?春天?适合开场。,1,
68,\\@DreamerW :痴人怎么老当开场啊?,2,0
68,是我落伍了又.....,3,
68,\\@摇滚春晚 :,4,
68,\\@不平路泛滥 :@摇滚春晚 带感啊！！！,5,
68,嗷！！！,6,
68,@摇滚春晚 “爱在摇滚的岁月”第三届摇滚春晚提前上线，祝大家新春快乐！,7,
68,官方全程视频地址：http:\\t.cn\z0kY7J4,8,
69,这个我喜欢,1,
69,\\@Emily-姚玉洁 :,2,
69,\\@Leon王小亮 : 这个，确实漂亮  @汽车人八卦,3,
69,#街拍#,4,
69,路虎揽胜极光Evoque敞篷版，维多利亚·贝克汉姆参与设计?,5,0
70,木要木要……他会吃醋…,1,
70,天啊，你敢找别人我就叫你订机票让我去宁夏杀你。,2,2
71,@智媗 没看的转个,1,
71,\\@Henecia-薏菡 : 早就发现这个了，没看点@魔王慕木賢,2,0
71,\\@Doraemon-叮当的鬪神会大发 :最差春晚没有之一,3,
71,\\@酱油花_henecia感激时代 :,4,
71,\\@舞美师 :真相！,5,
71,@丑鱼尼莫,6,
71,#春晚#,7,
71,李敏镐是华谊兄弟花钱请来的，姚贝娜是华谊的，刘欢是姚贝娜老师，张靓颖曾签约华谊，王铮亮《时间都去哪儿了》（某电视剧插曲）是冯小刚在宋丹丹家发现感动到哭后成《私人订制》插曲，孙楠、杨坤唱过冯小刚片中曲，李雪健、葛优、姚晨是华谊御用，张国立是冯小刚兄弟...春晚，华谊兄弟的年会。,8,
71,春晚 难忘今宵，2014中央电视台春节联欢晚会圆满落幕！,9,
71,今年的春晚和去年比怎么样？,10,
71,你最爱的节目时哪个？,11,
71,刷微博，看春晚，微博神吐槽让春晚精彩不断！,12,
71,没有微博的春晚，真的不行！,13,
71,领红包 316870,14,
72,大家都来看看吧，，想再次购买想再次购买不错哦，，推荐。,1,
72,@長楽未央 @只__看微博不常微脖的Lr @唯宇独秀儿  @360团 DHC卸妆油出限量版啦！,2,0
72,尼玛呀~,3,
72,终于在团购上找到了，端午节大促销，69元120ml买二包邮！,4,
72,还送一盒化妆棉。,5,
72,算算能省下不少银子啊~,6,
72,这等好事哪里找去，立刻拉着姐妹下单，爱化妆，会过日子的MM怎能错过，别hould着啦！,7,
72,速度去抢吧&gt;,8,
72,&gt;,9,
72,&gt;,10,
72,http:\\t.cn\zOkiQTM,11,
73,某人端午节单位发了一张某超市购物卡，一桶油，一箱咸鸭蛋（48个），一箱皮蛋（45个）……,1,0
73,尼玛，发这么多蛋何时能吃得完,2,
74,2013年3月去了传说中的香格里拉，季节没选好，草枯花谢，雪山的雪也很稀薄，或许以后还得再去一次。,1,1
75,真是太有共鸣了，要不是看这俩演员真不看了,1,1
75,唉，不知道结局会怎么样，而且那个考古的剧情也很牵强,2,
76,"今天出克吃的螺丝粉,木有煮咯,下次煮喊你来.",1,1
76,人家不吃碳水化合物。,2,
77,来真的啊！我只要丰叔就无所求…你家聪我远观成么,1,1
77,丰叔不是说好借我包养还没到期呢嘛!!,2,
78,好吧，这回我又醒了，又是三点多～,1,
78,翻个身，手机从二层床掉下去，身首异处，三星手机真抗摔。,2,2
79,哈哈哈!,1,
79,大笑三声!,2,
79,原来是破矿，不是申花，那些闭着眼炒作的可以瞑目了,3,
79,\\@doer-a :啊啊啊啊啊啊@Lulujune @yoyo_yolanda,4,0
79,\\@鹿玖 :他们看央视春晚了？,5,
79,\\@Mondschein :卧槽 2012啊！,6,2
79,\\@杜烧 : 妈了个蛋啊！,7,
79,@低调的雕像,8,
79,【阿斯】,9,
79,古蒂将会和劳尔并肩作战！！！！,10,1
79,古蒂本周将会和沙尔克04签署六个月的合同！！！,11,
79,@皇马球迷俱乐部,12,
80,不是可能，你已经在实施了，路子太野了！,1,
80,我这体格，先减掉30~40斤再买包比较靠谱！,2,1
81,有人问:,1,
81,如何救？我要救我的孩子，一个刚刚上学的孩子！,2,2
82,谁叫大东是俺的最爱呢…哈哈…,1,
82,什么时间呀，我只知道今天有，但是不知道几点啦,2,2
83,唱哭了好多人啊!,1,
83,那些年…,2,
83,的故事吧!,3,
83,)  @新浪娱乐,4,
83,#央视春晚#,5,
83,视频回放】,6,
83,费翔表演《故乡的云》http:\\t.cn\z0FZYFI 费翔再次登上春晚的舞台，曾经的回忆您是否还记忆犹新呢？,7,1
83,1987费翔第一次登上央视春晚也曾演唱这首歌。,8,
83,“归来吧，归来呦，浪迹天涯的游子。,9,
83,归来吧，归来呦，我已厌倦漂泊”,10,
84,这样不关心老百姓总有一天会发现自己众叛亲离的,1,
84,不要吓领导，吓坏了以后新闻里只报道领导看戏,2,2
85,周庄位于苏州城东南，昆山的西南处，有“中国第一水乡”的美誉，是江南六大古镇之一。,1,
85,始建于1086年的古镇周庄，是中国江南一个具有九百多年历史的水乡古镇，,2,1
86,转发微博  @精彩在沃 本山大叔近日宣布明年退出电视春晚舞台，不用遗憾，中国联通联合辽宁、江苏两大卫视推出的,1,
86,#中国联通 精彩在沃#,2,
86,2013年春节晚会中都将出现本山大叔的身影，为笑而生的本山大叔今年打算带谁“出道”耍宝呢？,3,
86,锁定@辽宁卫视 @江苏卫视 ，引爆你的笑点！,4,1
87,南京总统府景区感觉跟庐山的差不多，就是这里也有太平天国的一些东西。,1,0
87,就当做是来学习历史啦。,2,
88,占地面积不小得逛小半天。,1,
88,过去的汉王府、江宁织造府、保留了江南园林风格又有现代的建筑。,2,0
88,孙先生和蒋先生工作生活过的地方。,3,0
89,"我带吃鸭脖子..双手没空出来,才让她有机很趁",1,1
89,你敢再虚伪点的说么！,2,
90,#谁是奥运预言帝#,1,
90,#九阳营养早餐运动#,2,
90,我猜首金是射击项目@Mark84 @星心康 @lovepuff  @九阳网上购物,3,0
90,#谁是奥运预言帝#,4,
90,#九阳营养早餐运动#,5,
90,还有四天奥运会就开幕啦！,6,
90,先来猜猜中国首金是哪个项目吧！,7,
90,说出你的答案，艾特三位好友，同时关注我们~,8,
90,我们会从猜对的童鞋们中抽取10名，送出九阳早餐系列新品（爱粉系列）价值159元的煮蛋器和酸奶机哦！,9,
90,奥运，为健康加油！,10,
90,健康，从早餐开始！,11,
91,恭喜哈,1,
91,哈哈哈，从此上海马路上又多了个开碰碰车的。。,2,1
92,看见瀑布，心中就会回荡起西游记的片尾曲……,1,1
93,那个司机真的挺帅不过人家结婚啦你就别念叨了。,1,2
93,你又知道。。绝望，满街就没见几个单身了,2,
94,【“闯黄灯”存隐患】,1,
94,记者发现，不少车主司机赞成“闯黄灯”属违法。,2,
94,有15年驾龄的西宁市民鲍先生说，黄灯闪烁对于司机来说是为了起到一定的提示作用，而闯黄灯行为违背了黄灯作为安全警示的初衷，应该视作违法。,3,
94,“就像运动员赛跑时，听到‘预备’声响就抢跑一样，这肯定是违规的。,4,
94,”  @新华社中国网事,5,
94,#微调查#,6,
94,【六省市“闯黄灯”执法调查】,7,
94,4月6日全国首例“闯黄灯”案终审宣判，闯黄灯司机系违法；,8,
94,11日，武汉市交管部门明确表示，闯黄灯等同闯红灯。,9,
94,闯黄灯如何界定？,10,
94,闯黄灯算不算违法？,11,
94,中国网事记者对浙江、湖北、上海、重庆、青海、安徽六省市“闯黄灯”执法情况进行了调查。,12,0
94,http:\\t.cn\zOp2Wjw,13,
95,一无所有挺应景儿的吧？,1,
95,难道谁能大捞一笔？,2,
95,\\@阿斯旺 :一无所有。。。,3,
95,本来也不适合大过年吧。。。,4,
95,内什么，老崔，您有点新鲜的吗,5,
95,\\@肆意的行走 :,6,
95,\\@拉杆箱的尾巴 :,7,
95,\\@让子尘飞一会儿 :,8,
95,\\@切总 : 比起老崔，春晚他算个P啊！,9,0
95,@神笔记,10,
95,【这样的艺人必须挺！】,11,
95,1月17日晚，崔健经纪人尤尤确认崔健不上马年春晚，原因是《一无所有》未通过春晚审查，“因为我们不会改歌词”。,12,
95,在中国，相比那些只想赚钱、走红，千方百计博出位，甚至甘愿舔菊的艺人，崔健已属稀缺，对这样”只为苍生说人话、不为权贵唱赞歌“、有风骨和良知的艺人，必须挺！,13,
96,come on!,1,
96,金满贯！,2,
96,我要直播啊！！！,3,
96,@新浪网球,4,
96,【奥运-莎娃@MariaSharapova 进决赛剑指金满贯】,5,0
96,http:\\t.cn\zWp0nNI 伦敦奥运会网球比赛进入到第七日的争夺。,6,
96,在率先结束的一场女单半决赛中，3号种子莎拉波娃用时1个半小时，以6-2\6-3战胜14号种子基里连科，闯入决赛。,7,
96,她的对手将在美国名将小威廉姆斯和头号种子阿扎伦卡之间产生。,8,
97,我也是，各种油烟味和辣椒味。。,1,
97,他们自己做的那些饭是给人吃的麽？真受不了…,2,2
98,听说是阳光明媚的时候，阳光照射到湖里，湖面反射的光呈现不同颜色。,1,1
98,可惜变天了，看不到这样的景色…,2,
98,也没有多逗留，拍了照片决定赶紧下山…,3,
99,这里是南海观音的内部，这个位置相当于她的莲花座的地方。,1,0
99,里面很是辉煌。,2,
100,哈哈哈，你很懂心理学阿,1,
100,我是搞培训的，当然了解一些心里学了，怎么了？,2,2
101,减肥减的…,1,
101,我没节食啊！只是吃饭吃个七八分饱，不吃太涨了…,2,1
102,给照片看看！要是每天光吃吃喝喝不上班多好。,1,1
102,貌似人人都有这种想法，照片稍后奉上！,2,
103,欣赏学习，遥祝幸福安康！,1,
103,端午节快乐！,2,
103,——看到诗词我的灵魂的博文《[原创]苏幕遮》有感而发的评论。,3,0
103,http:\\t.cn\zHK19C5,4,
104,once a red，always a red  @新浪体育,1,0
104,【贝克汉姆:不回英超因曼联】,2,
104,详情：http:\\t.cn\zYUJCTX 前英格兰队队长贝克汉姆正式加盟法甲巴黎圣日耳曼，签5个月到赛季结束。,3,
104,发布会上小贝深情表示，自己不愿意回到英超是因为不是为曼联效力，同时小贝确认自己这5个月会为巴黎圣日耳曼免费效力，因为他的薪水都会捐给巴黎的少年慈善机构。,4,
104,@曼联新闻,5,
105,我叫伊出来碰头还不肯，哼哼！你们碰头也不叫我,1,2
105,今天临时定的，下次一定叫你哈,2,
106,好大啊！还以为是奥林匹克运动场呢，你们新建的？,1,1
106,你这评论很给力啊必须地,2,
107,奖品！,1,
107,一定要HOLD住！,2,
107,一起来抢啊！,3,
107,&quot;,4,
107,伦敦奥运开幕式和2008鸟巢开幕式有何不同？,5,0
107,&quot;,6,
107,http:\\t.cn\zWKaZJ5  @南都周刊 这是一届“寒碜”的奥运会？,7,
107,对比2008年，伦敦奥运开幕式，带给你什么感受？,8,
107,欢迎积极转发及发表意见。,9,
107,将有6名幸运网友获得由卡萨帝冰吧提供的价值不菲的高级红酒1支，畅饮奥运精彩。,10,
107,http:\\t.cn\zWKaZJ5,11,
108,亲，我已经付款，啥时发货啊，那款益若翼的杏仁,1,2
108,您好付款后48小时内发货哦,2,
109,而且我觉得香港还是香港！真的和中国没什么关系。,1,2
109,必须没关系，都不能随便去。那不是中国,2,
110,我喜欢过道,1,
